,model,price
0,Galaxy M30 (3GB RAM), 9649
1,Galaxy M10s, 8499
2,Galaxy M30s (6GB RAM), 16999
3,Galaxy M30s (4GB RAM), 13999
4,Galaxy M40, 17990
5,Galaxy M30 (6GB RAM), 16999
6,Galaxy M30 (4GB RAM), 11499
7,Galaxy M10 (2GB RAM), 7999
